agent_id,first_name,last_name,email,phone,license_number,employment_type,commission_rate,hire_date,active,user_id,role,office_id
1,Anna,Herman,anna.herman0@dreamhomesnyc.com,3174612004,NY-711382-YDXQ,Full-Time,0.0472,2025-08-13,True,1,manager,5
2,Heather,Fernandez,heather.fernandez1@dreamhomesnyc.com,9261796405,NY-377351-RXIP,Part-Time,0.0245,2022-08-30,True,2,agent,5
3,Raymond,Lopez,raymond.lopez2@dreamhomesnyc.com,1713900532,NY-931839-NOVX,Full-Time,0.0403,2021-08-09,True,3,agent,9
4,Rachel,Smith,rachel.smith3@dreamhomesnyc.com,2284210205,NY-395024-DIVA,Full-Time,0.0261,2023-07-02,True,4,agent,9
5,Julie,Alvarez,julie.alvarez4@dreamhomesnyc.com,5891783908,NY-470076-BRGF,Full-Time,0.044,2024-06-06,True,5,agent,6
6,Scott,Lam,scott.lam5@dreamhomesnyc.com,5921249985,NY-698478-MBGY,Part-Time,0.0296,2024-05-18,True,6,agent,2
7,Melissa,Curtis,melissa.curtis6@dreamhomesnyc.com,8367365766,NY-156545-JREE,Full-Time,0.0493,2021-04-28,True,7,admin,9
8,Christopher,Reynolds,christopher.reynolds7@dreamhomesnyc.com,5280988516,NY-560494-WGKG,Full-Time,0.0251,2021-12-06,True,8,agent,5
9,Diane,Walker,diane.walker8@dreamhomesnyc.com,1585149368,NY-998094-BLRS,Part-Time,0.0586,2024-09-05,False,9,agent,4
10,Sandra,Bell,sandra.bell9@dreamhomesnyc.com,2296120183,NY-667525-TUUX,Part-Time,0.036,2025-07-29,True,10,agent,9
11,Caitlyn,Ware,caitlyn.ware10@dreamhomesnyc.com,2290147679,NY-764381-WBHS,Part-Time,0.0248,2024-04-05,True,11,agent,10
12,Brittany,Rose,brittany.rose11@dreamhomesnyc.com,4036900343,NY-244510-FVBL,Full-Time,0.0435,2021-07-07,True,12,agent,1
13,Amanda,Hall,amanda.hall12@dreamhomesnyc.com,8516060715,NY-969664-HZBU,Full-Time,0.0227,2021-09-23,True,13,agent,9
14,Stacey,Stevens,stacey.stevens13@dreamhomesnyc.com,5161369681,NY-645352-EGOH,Full-Time,0.0311,2023-07-10,True,14,agent,10
15,James,Parsons,james.parsons14@dreamhomesnyc.com,5231243292,NY-127799-CRKP,Part-Time,0.0297,2024-01-17,True,15,agent,2
16,Claudia,Lin,claudia.lin15@dreamhomesnyc.com,5271774490,NY-581477-CDXS,Full-Time,0.0464,2021-04-02,True,16,agent,1
17,Michelle,Wyatt,michelle.wyatt16@dreamhomesnyc.com,9986798079,NY-359782-DCGZ,Full-Time,0.0224,2025-05-13,True,17,agent,2
18,Matthew,Klein,matthew.klein17@dreamhomesnyc.com,8203778892,NY-554665-RMDY,Full-Time,0.0277,2024-01-09,True,18,agent,3
19,Matthew,Rivera,matthew.rivera18@dreamhomesnyc.com,8644925192,NY-546291-TJYP,Part-Time,0.0385,2024-10-29,True,19,agent,9
20,Lisa,Santiago,lisa.santiago19@dreamhomesnyc.com,8168505423,NY-573322-ESYG,Full-Time,0.022,2023-05-29,False,20,agent,2
21,Amber,Rodgers,amber.rodgers20@dreamhomesnyc.com,8059296222,NY-927065-RUPC,Full-Time,0.0267,2023-12-03,True,21,agent,7
22,Karen,Bowers,karen.bowers21@dreamhomesnyc.com,3834735977,NY-468862-MZMI,Full-Time,0.0266,2025-03-26,True,22,agent,8
23,Brett,Castillo,brett.castillo22@dreamhomesnyc.com,5818141247,NY-826137-WBAD,Part-Time,0.0369,2022-11-07,False,23,admin,9
24,Nathaniel,Hughes,nathaniel.hughes23@dreamhomesnyc.com,1530515220,NY-472779-AFBQ,Part-Time,0.0262,2021-12-12,True,24,manager,10
25,Edward,Bentley,edward.bentley24@dreamhomesnyc.com,9861434103,NY-697117-MIBO,Full-Time,0.0499,2023-06-12,True,25,agent,9
26,John,Thomas,john.thomas25@dreamhomesnyc.com,6095396218,NY-518888-JBYE,Full-Time,0.0223,2021-01-31,True,26,manager,2
27,Paul,Brooks,paul.brooks26@dreamhomesnyc.com,0515319520,NY-585277-OLZI,Full-Time,0.047,2021-03-08,True,27,agent,10
28,Kimberly,Ellis,kimberly.ellis27@dreamhomesnyc.com,4303054868,NY-740345-XDPV,Full-Time,0.0432,2022-03-27,True,28,agent,10
29,Lauren,Kim,lauren.kim28@dreamhomesnyc.com,6765277584,NY-161692-ISUG,Part-Time,0.0574,2021-04-08,True,29,agent,4
30,Donna,Parker,donna.parker29@dreamhomesnyc.com,9627570596,NY-401658-ZVRK,Part-Time,0.0358,2025-08-19,True,30,agent,6
31,Douglas,Lawson,douglas.lawson30@dreamhomesnyc.com,7021355690,NY-927557-WEKI,Full-Time,0.0204,2023-07-08,True,31,agent,2
32,Raymond,Banks,raymond.banks31@dreamhomesnyc.com,3102786814,NY-473947-MHIE,Full-Time,0.0415,2023-02-16,True,32,agent,6
33,Rachel,Wallace,rachel.wallace32@dreamhomesnyc.com,1551884422,NY-583132-PYFB,Full-Time,0.0552,2022-09-03,True,33,agent,9
